tegund,atferli,fjarlaegd,par,kyn,latneskt,ath,snid
spói,æ,0-25,,,Numenius phaeopus,,b
spói,æ,0-25,,,Numenius phaeopus,,b
spói,s,0-25,,,Numenius phaeopus,,b
spói,s,25-50,,,Numenius phaeopus,,b
spói,s,25-50,,,Numenius phaeopus,,b
spói,,25-50,,,Numenius phaeopus,,b
spói,æ,25-50,,,Numenius phaeopus,,b
spói,æ,25-50,,,Numenius phaeopus,,b
spói,æ,25-50,,,Numenius phaeopus,,b
spói,æ,25-50,,,Numenius phaeopus,,b
spói,æ,25-50,,,Numenius phaeopus,,b
spói,æ,25-50,,,Numenius phaeopus,,b
spói,s,25-50,,,Numenius phaeopus,,b
spói,æ,25-50,,,Numenius phaeopus,,b
spói,æ,25-50,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,,50-100,,,Numenius phaeopus,,b
spói,,50-100,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,æ,50-100,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,æ,50-100,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,æ,50-100,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,s,50-100,,,Numenius phaeopus,,b
spói,æ,100+,,,Numenius phaeopus,,b
jaðrakan,æ,0-25,,,Limosa limosa,,b
jaðrakan,æ,0-25,1,,Limosa limosa,,b
jaðrakan,æ,0-25,1,,Limosa limosa,,b
jaðrakan,f,0-25,,,Limosa limosa,flaug yfir,b
jaðrakan,s,25-50,,,Limosa limosa,,b
jaðrakan,,25-50,,,Limosa limosa,,b
jaðrakan,s,50-100,,,Limosa limosa,,b
jaðrakan,s,50-100,,,Limosa limosa,,b
jaðrakan,f,100+,,,Limosa limosa,flaug yfir,b
hrossagaukur,,0-25,,,Gallinago gallinago,,b
hrossagaukur,,0-25,,,Gallinago gallinago,,b
hrossagaukur,s,25-50,,,Gallinago gallinago,,b
hrossagaukur,s,25-50,,,Gallinago gallinago,,b
hrossagaukur,s,25-50,,,Gallinago gallinago,,b
hrossagaukur,s,25-50,,,Gallinago gallinago,,b
hrossagaukur,s,50-100,,,Gallinago gallinago,,b
hrossagaukur,s,50-100,,,Gallinago gallinago,,b
hrossagaukur,,50-100,,,Gallinago gallinago,,b
hrossagaukur,s,50-100,,,Gallinago gallinago,,b
